lead_id,source,handle,store_name,contact_name,email,phone,city,country,followers,active_listings,avg_listing_price_gbp,sales_velocity_30d,est_monthly_spend_gbp,stage,first_seen_date,last_touch_date,num_touches,last_inbound_text,assigned_bdr,notes
L0272,store,,Retro Loom,Zoe Silva,zoesilva55@hotmail.com,,Leeds,UK,,,,0,4610,new,2026-02-16,,0,,Priya,slow to reply
L0281,Vinted,@staticfaded_uk,,,,,,,4747,116,22,9,760,New,15/02/2026,,0,,,owner travels a lot
L0269,Depop,instagram.com/sablemarrowarchive,,,,,,,790,65,26,32,"£2,030",new lead,15/02/2026,,0,,Tomas,
L0267,Depop,rummagethriftvintage,,Elena,,,,,62870,213,70,138,"£9,000",new lead,2026-02-11,,0,,Maya,high engagement acct
L0266,store,,Camden Lab,Bea Reid,shop@camdenlab.com,07442 671631,Manchester,UK,,0,,,£660,new,2026-02-15,,0,,,slow to reply
L0285,Whatnot,@plumesablestudio,,,,,,,231,47,32,22,"£1,050",new lead,2026-02-06,,0,,,follows competitor
L0275,Instagram,@thriftstudio,,,,,,,6011,66,23,21,"£1,270",new,2026-02-05,,0,,,price sensitive
L0268,Physical Store,,The Trunk,Noah Khan,info@thetrunk.com,7799339576,Manchester,UK,0,,,,"£4,220",New,2026-02-07,,0,,Tomas,slow to reply
L0270,Physical Store,,Past Edit,Nadia Petrov,nadiapetrov@outlook.com,7197769276,Leeds,UK,,,,,"£4,930",new,2026-02-14,,0,,Maya,ref from supplier
L0295,Instagram,@heritagefinds,,,,,,,2793,56,16,4,£120,New,2026-02-12,,0,,Tomas,follows competitor
L0293,Physical Store,,Velvet Loom,Zoe Silva,info@velvetloom.com,,Manchester,UK,,0,,,4000,New,2026-02-09,,0,,,
L0290,google_maps,,Vintage Collective,James Rossi,hello@vintagecollect.com,+33 531 9606552,Paris,FR,,,,,5640,new lead,2026-02-08,,0,,,
L0291,store,,The Loom,Theo Walsh,theowalsh81@yahoo.com,+44 7725 229176,Brighton,UK,0,,,,2560,new lead,13/02/2026,,0,,,high engagement acct
L0271,store,,Golden Lane,Dmitri Berg,dmitriberg32@hotmail.com,+33 934 2614342,Paris,FR,,,,,5400,New,2026-02-06,,0,,Tomas,
L0276,IG,emberstore,,,,,,,55074,559,47,126,"£9,000",new lead,2026-02-08,,0,,,owner travels a lot
L0278,Instagram,@thriftcollective,,,,,,,2344,97,38,24,"£1,620",new lead,2026-02-07,,0,,Tomas,big consignment potential
L0279,store,,Corner Collective,Liam Reid,hello@cornercollecti.com,+44 7724 851761,Bristol,UK,,,,,2120,New,2026-02-07,,0,,,wants menswear focus
L0273,google_maps,,House of Society,Lukas Moreau,lukasmoreau69@outlook.com,+44 7940 476743,Leeds,UK,,,,,2850,new lead,2026-02-03,,0,,Tomas,follows competitor
L0282,in-person,,Rusty Cellar,Nadia Moreau,shop@rustycellar.co.uk,,Leeds,UK,0,,,0,5320,new lead,2026-02-05,,0,,Tomas,wants menswear focus
L0283,Vinted,heritagetonicvintage,,,,,,,3348,64,39,24,2030,New,2026-02-16,,0,,Tomas,
L0287,google_maps,,Atelier Drawer,Marta Murphy,hello@atelierdrawer.store,+1 451 4744219,New York,US,,,,,"£5,950",new,2026-02-09,,0,,,
L0280,instagram_dm,@waxshop,,,,,,,32504,334,35,200,"£9,000",New,2026-02-03,,0,,,
L0286,google_maps,,Old Vault,Pablo Fischer,hello@oldvault.co.uk,+31 799 7887559,Amsterdam,NL,,,,,5080,new lead,2026-02-08,,0,,,follows competitor
L0294,eBay,@driftarchive,,,,,,,2961,25,10,29,£180,new,2026-02-15,,0,,,owner travels a lot
L0284,store,@heritageprelovedstudio,Maison Lab,Hugo Fischer,hugofischer@gmail.com,+33 666 4789270,Paris,FR,,,,,1450,new,13/02/2026,,0,,Maya,wants menswear focus
L0289,Physical Store,,Atelier Lab,Pablo Kaur,shop@atelierlab.co.uk,,New York,US,0,,,0,"£1,930",new,2026-02-11,,0,,,met at market
L0292,store,,Vintage Closet,Aisha Khan,shop@vintagecloset.co.uk,+33 966 9546987,Paris,FR,,,,,880,new,2026-02-16,,0,,,
L0288,store,,Blue Lab,Sofia Petrov,sofiapetrov@yahoo.com,+33 610 4191051,Paris,FR,,,,,5370,new lead,2026-02-16,,0,,Maya,
L0274,in-person,,Blue Trunk,Tom Okafor,tomokafor87@hotmail.com,+49 971 3101493,Berlin,DE,,,,,4710,new,2026-02-13,,0,,,wants menswear focus
L0277,Physical Store,,Atelier Trunk,Sven Okafor,shop@ateliertrunk.com,+31 863 9720810,Amsterdam,NL,,,,,"£2,730",new lead,2026-02-14,,0,,,
