lead_id,source,handle,store_name,contact_name,email,phone,city,country,followers,active_listings,avg_listing_price_gbp,sales_velocity_30d,est_monthly_spend_gbp,stage,first_seen_date,last_touch_date,num_touches,last_inbound_text,assigned_bdr,notes,handle_clean,store_clean,city_clean,country_clean,email_clean,email_valid,phone_clean,phone_valid,spend_clean,spend_is_cap,followers_clean,velocity_clean,listings_clean,avg_price_clean,stage_raw,first_seen,last_touch,last_touch_reliable,first_seen_future,data_quality_flags,dedupe_key,lead_type,primary_channel,conversation_channel,sales_goal,human_owner_status,dm_active,email_active,call_active,warm_call_eligible,dm_step,email_step,call_step,dm_next_date,email_next_date,call_next_date,warm_call_due,reply_sentiment,sequence_step,tracks_initialized,last_action_key
L0188,Physical Store,,Rusty Wardrobe,Dmitri Rossi,shop@rustywardrobe.com,+31 576 8362487,Amsterdam,NL,,,,,"£5,170",lost,2026-01-04,,5,"Happy to chat, mornings best.",Tomas,"slow to reply [merged L0252: stage=contacted, bdr=Tomas, said='Happy to chat, mornings best.']",,Rusty Wardrobe,Amsterdam,NL,shop@rustywardrobe.com,True,+315768362487,True,5170.0,False,,,,,lost,2026-01-04,2026-02-09,True,False,"[""merged_duplicate""]",s:rusty wardrobe|amsterdam|nl,shop,email,,book_visit,closed,False,True,True,True,0,0,0,,,,False,positive,0,True,
L0224,store,,Past Cellar,Tom Berg,tomberg@outlook.com,+1 394 8899136,LA,US,,,,,"£5,150",replied,,2025-12-18,6,,,met at market [merged L0254: stage=contacted],,Past Cellar,LA,US,tomberg@outlook.com,True,+13948899136,True,5150.0,False,,,,,Reply,,2025-12-18,True,False,"[""merged_duplicate""]",s:past cellar|la|us,shop,email,,book_visit,active,False,True,True,True,0,4,0,,,,False,none,0,True,
L0105,Whatnot,@sepiacollective,,Greta,,,,,1157,39,15,13,140,call_booked,2026-02-19,20/02/2026,4,need to think about it,Maya,slow to reply,sepiacollective,,,,,False,,False,140.0,False,1157.0,13.0,39.0,15.0,call-booked,2026-02-19,2026-02-20,True,False,[],h:sepiacollective,reseller,dm,,book_call,closed,True,False,False,False,0,0,0,,,,False,none,0,True,
L0175,in-person,cinderwaxfinds,Loft Cellar,Priya Fischer,shop@loftcellar.com,0044785719596,Manchester,UK,,,,0,£860,ghosted,08/12/2025,,4,"Happy to chat, mornings best.",,,cinderwaxfinds,Loft Cellar,Manchester,UK,shop@loftcellar.com,True,+44785719596,True,860.0,False,,0.0,,,ghosted,2025-12-08,,True,False,"[""handle_on_store""]",s:loft cellar|manchester|uk,shop,email,email,book_visit,active,False,True,True,True,0,4,0,,,,False,positive,0,True,
L0044,Depop,plumetonicthreads,,,,,,,21314,327,62,110,9000,warm,Dec 31,01/01/2026,5,send me the bundle list,,owner travels a lot,plumetonicthreads,,,,,False,,False,9000.0,True,21314.0,110.0,327.0,62.0,warm,2025-12-31,2026-01-01,True,False,[],h:plumetonicthreads,reseller,dm,dm,book_call,active,True,False,False,False,4,0,0,,,,False,positive,0,True,
L0051,Depop,@thriftwaxthreads,,,,,,,3281,47,11,17,£290,replied,2025-12-24,,5,what brands do you take?,Priya,met at market,thriftwaxthreads,,,,,False,,False,290.0,False,3281.0,17.0,47.0,11.0,replied,2025-12-24,,True,False,[],h:thriftwaxthreads,reseller,dm,dm,book_call,active,True,False,False,False,4,0,0,,,,False,none,0,True,
L0013,Whatnot,reworkedrelic_,,,,,,,16608,381,68,87,"£9,000",replied,2026-01-13,2026-01-25,3,already on another platform tbh,,slow to reply,reworkedrelic_,,,,,False,,False,9000.0,True,16608.0,87.0,381.0,68.0,Reply,2026-01-13,2026-01-25,True,False,[],h:reworkedrelic_,reseller,dm,dm,book_call,active,True,False,False,False,3,0,0,2026-01-30,,,False,negative,0,True,
L0041,IG,@giltvintage,,Nadia,,,,,41381,249,54,191,9000,contacted,2026-01-23,2026-02-27,3,what brands do you take?,Priya,wants menswear focus,giltvintage,,,,,False,,False,9000.0,True,41381.0,191.0,249.0,54.0,Contacted,2026-01-23,2026-02-27,True,False,[],h:giltvintage,reseller,dm,dm,book_call,active,True,False,False,False,3,0,0,2026-03-04,,,False,none,0,True,
L0248,Physical Store,,Atelier Garms,Carlos Park,,+33 878 1129387,Paris,FR,,,,,1400,negotiating,2026-02-23,,6,,Maya,wants menswear focus,,Atelier Garms,Paris,FR,,False,+338781129387,True,1400.0,False,,,,,negotiating,2026-02-23,,True,False,[],s:atelier garms|paris|fr,shop,call,,book_visit,closed,False,False,True,True,0,0,0,,,,False,none,0,True,
L0226,in-person,@driftshop,Brick Lane Closet,Yuki Park,info@bricklaneclose.co.uk,+1 138 9584195,New York,US,,,,,"£5,200",ghosted,Dec 29,Jan 5,5,"Sure, pop in on Thursday.",,price sensitive,driftshop,Brick Lane Closet,New York,US,info@bricklaneclose.co.uk,True,+11389584195,True,5200.0,False,,,,,no response,2025-12-29,2026-01-05,True,False,"[""handle_on_store""]",s:brick lane closet|new york|us,shop,email,email,book_visit,active,False,True,True,True,0,4,0,,,,False,positive,0,True,
L0247,in-person,,Loft Exchange,Ines Marchetti,ines@@hotmail.com,07318 272813,Bristol,UK,,,,,"£2,800",won,2026-02-06,2026-02-12,3,Not taking on new channels currently.,Tomas,,,Loft Exchange,Bristol,UK,ines@hotmail.com,True,07318 272813,True,2800.0,False,,,,,WON,2026-02-06,2026-02-12,True,False,[],s:loft exchange|bristol|uk,shop,email,,book_visit,closed,False,True,True,True,0,0,0,,,,False,none,0,True,
L0230,Physical Store,,Second Garms,James Weber,info@secondgarms.co.uk,+1 616 9161729,LA,US,,0,,,"£2,790",warm,2026-02-21,2026-02-21,5,"Thanks, can you email a one-pager?",,,,Second Garms,LA,US,info@secondgarms.co.uk,True,+16169161729,True,2790.0,False,,,0.0,,Warm,2026-02-21,2026-02-21,True,False,[],s:second garms|la|us,shop,email,email,book_visit,active,False,True,True,True,0,4,0,,,,False,none,0,True,
L0042,Depop,@prelovedtonicvintage,,Pablo,,,,,53745,435,64,109,9000,lost,2025-12-26,Jan 13,6,already on another platform tbh,,ref from supplier,prelovedtonicvintage,,,,,False,,False,9000.0,True,53745.0,109.0,435.0,64.0,Lost,2025-12-26,2026-01-13,True,False,[],h:prelovedtonicvintage,reseller,dm,,book_call,closed,True,False,False,False,0,0,0,,,,False,negative,0,True,
